No,Time,DC/AC,Value,Unit,AUTO
58,19:10:46,DC,0,uA,AUTO
59,19:10:47,DC,0,uA,AUTO
60,19:10:47,DC,0,uA,AUTO
61,19:10:47,DC,0,uA,AUTO
62,19:10:47,DC,0,uA,AUTO
63,19:10:48,DC,0,uA,AUTO
64,19:10:48,DC,0,uA,AUTO
65,19:10:48,DC,0,uA,AUTO
66,19:10:48,DC,0,uA,AUTO
67,19:10:49,DC,0,uA,AUTO
68,19:10:49,DC,0,uA,AUTO
69,19:10:49,DC,0,uA,AUTO
70,19:10:49,DC,0,uA,AUTO
71,19:10:50,DC,0,uA,AUTO
72,19:10:50,DC,0,uA,AUTO
73,19:10:51,DC,0.1,uA,AUTO
74,19:10:51,DC,0.1,uA,AUTO
75,19:10:51,DC,0.1,uA,AUTO
76,19:10:51,DC,0.1,uA,AUTO
77,19:10:52,DC,0.2,uA,AUTO
78,19:10:52,DC,0.2,uA,AUTO
79,19:10:52,DC,0.3,uA,AUTO
80,19:10:52,DC,0.3,uA,AUTO
81,19:10:53,DC,0.4,uA,AUTO
82,19:10:53,DC,0.4,uA,AUTO
83,19:10:53,DC,0.5,uA,AUTO
84,19:10:53,DC,0.5,uA,AUTO
85,19:10:54,DC,0.7,uA,AUTO
86,19:10:54,DC,0.7,uA,AUTO
87,19:10:54,DC,1.1,uA,AUTO
88,19:10:54,DC,1.1,uA,AUTO
89,19:10:55,DC,1.7,uA,AUTO
90,19:10:55,DC,1.7,uA,AUTO
91,19:10:55,DC,2,uA,AUTO
92,19:10:56,DC,2,uA,AUTO
93,19:10:56,DC,2.1,uA,AUTO
94,19:10:56,DC,2.1,uA,AUTO
95,19:10:57,DC,1.9,uA,AUTO
96,19:10:57,DC,1.9,uA,AUTO
97,19:10:57,DC,1.6,uA,AUTO
98,19:10:57,DC,1.6,uA,AUTO
99,19:10:58,DC,1.9,uA,AUTO
100,19:10:58,DC,1.9,uA,AUTO
101,19:10:58,DC,3,uA,AUTO
102,19:10:58,DC,3,uA,AUTO
103,19:10:59,DC,4.6,uA,AUTO
104,19:10:59,DC,4.6,uA,AUTO
105,19:10:59,DC,5.6,uA,AUTO
106,19:10:59,DC,5.6,uA,AUTO
107,19:11:00,DC,5.5,uA,AUTO
108,19:11:00,DC,5.5,uA,AUTO
109,19:11:00,DC,4.7,uA,AUTO
110,19:11:00,DC,4.7,uA,AUTO
111,19:11:01,DC,3.7,uA,AUTO
112,19:11:01,DC,3.7,uA,AUTO
113,19:11:02,DC,2.9,uA,AUTO
114,19:11:02,DC,2.9,uA,AUTO
115,19:11:02,DC,2.6,uA,AUTO
116,19:11:02,DC,2.6,uA,AUTO
117,19:11:03,DC,3.9,uA,AUTO
118,19:11:03,DC,3.9,uA,AUTO
119,19:11:03,DC,7,uA,AUTO
120,19:11:03,DC,7,uA,AUTO
121,19:11:04,DC,10.5,uA,AUTO
122,19:11:04,DC,10.5,uA,AUTO
123,19:11:04,DC,12.3,uA,AUTO
124,19:11:04,DC,12.3,uA,AUTO
125,19:11:05,DC,12,uA,AUTO
126,19:11:05,DC,12,uA,AUTO
127,19:11:05,DC,10.3,uA,AUTO
128,19:11:05,DC,10.3,uA,AUTO
129,19:11:06,DC,8.1,uA,AUTO
130,19:11:06,DC,8.1,uA,AUTO
131,19:11:06,DC,6,uA,AUTO
132,19:11:06,DC,6,uA,AUTO
133,19:11:07,DC,4.4,uA,AUTO
134,19:11:07,DC,4.4,uA,AUTO
135,19:11:08,DC,3.4,uA,AUTO
136,19:11:08,DC,3.4,uA,AUTO
137,19:11:08,DC,3.5,uA,AUTO
138,19:11:08,DC,3.5,uA,AUTO
139,19:11:09,DC,5.3,uA,AUTO
140,19:11:09,DC,5.3,uA,AUTO
141,19:11:09,DC,9.6,uA,AUTO
142,19:11:09,DC,9.6,uA,AUTO
143,19:11:10,DC,15.7,uA,AUTO
144,19:11:10,DC,15.7,uA,AUTO
145,19:11:10,DC,21.4,uA,AUTO
146,19:11:10,DC,21.4,uA,AUTO
147,19:11:11,DC,24.3,uA,AUTO
