Time,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.1
6,0.25
7,0.45
8,0.9
9,1.8
10,2.0666666666666664
11,1.75
12,2.45
13,5.1
14,5.1
15,3.7
16,2.75
17,5.45
18,11.399999999999999
19,11.149999999999999
20,7.05
21,4.4
22,3.45
23,7.449999999999999
24,18.549999999999997
25,24.05
26,21.0
27,15.35
28,8.85
29,4.8
30,3.55
31,6.433333333333333
32,12.366666666666665
33,25.75
34,41.3
35,44.1
36,35.7
37,27.3
38,19.900000000000002
39,12.5
40,7.6499999999999995
41,4.65
42,3.266666666666667
43,2.9333333333333336
44,3.65
45,6.7
46,12.700000000000001
47,22.099999999999998
48,31.0
49,40.900000000000006
50,53.400000000000006
51,62.300000000000004
52,65.7
53,63.833333333333336
54,60.23333333333333
55,53.349999999999994
56,44.900000000000006
57,36.85
58,29.8
59,24.333333333333332
60,21.0
61,17.2
62,13.85
63,11.200000000000001
64,9.4
65,8.266666666666667
66,6.949999999999999
67,5.85
68,4.8999999999999995
69,4.199999999999999
70,3.8
71,3.7
72,3.5
73,3.15
74,3.1
75,3.266666666666667
76,3.533333333333333
77,4.05
78,4.8
79,5.7
80,6.85
81,8.0
82,9.25
83,11.1
84,12.25
85,6.199999999999999
86,2.2333333333333334
87,1.0333333333333332
88,0.35
89,0.1
90,0.0
